baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Gene Name
156.5400684,0.003464704,0.057005463,0.06077845,0.951535653,0.999729606,ABCC4
885.9153357,0.018469111,0.061042776,0.302560141,0.762225094,0.999729606,ABCC5
75.54922328,-0.059611512,0.069601871,-0.85646421,0.391741061,0.999729606,ABCC6
0.468676468,-0.038914535,0.613033715,-0.063478621,0.949385383,0.999729606,ABCC6P1
0.06226947,-0.631090116,2.902379112,-0.217438898,0.82786632,0.999729606,ABCC6P2
0.09174173,0.16705271,1.410862584,0.118404664,0.905747031,0.999729606,ABCC8
185.2468145,-0.154210729,0.078815835,-1.956595766,0.050395013,0.999729606,ABCC9
652.958575,-0.036951158,0.065919643,-0.560548516,0.575105357,0.999729606,ABCD1
177.8399669,0.116317351,0.087493692,1.329437004,0.183703836,0.999729606,ABCD2
342.0572981,0.047312133,0.060968767,0.77600607,0.437745402,0.999729606,ABCD3
477.3153721,0.008988971,0.049163062,0.182839931,0.854923617,0.999729606,ABCD4
603.9862278,0.049461259,0.058874526,0.840113075,0.40084499,0.999729606,ABCE1
1173.965824,-0.006671735,0.071475611,-0.093342826,0.925631211,0.999729606,ABCF1
710.7538495,-0.00455606,0.049563148,-0.091924356,0.92675814,0.999729606,ABCF2
953.223746,-0.00952256,0.039704884,-0.239833465,0.810459362,0.999729606,ABCF3
677.5825746,-0.156297669,0.087301787,-1.790314668,0.07340334,0.999729606,ABCG1
12.84681194,-0.153913296,0.168468054,-0.913605236,0.360924314,0.999729606,ABCG2
0.687004063,-1.064536817,0.507511467,-2.097562098,0.035943846,0.999729606,ABCG4
0.26227699,-0.329423174,0.662574684,-0.497186478,0.619057556,0.999729606,ABCG5
0.141323293,0.060944734,1.046824974,0.058218647,0.953574467,0.999729606,ABCG8
9.687793656,0.009063003,0.100104759,0.090535188,0.927861933,0.999729606,ABHD1
408.8361266,0.069912838,0.071762395,0.974226666,0.329944007,0.999729606,ABHD10
190.9234968,-0.002602703,0.061485321,-0.042330479,0.966235249,0.999729606,ABHD11
1.797542145,-0.015177913,0.242642207,-0.062552651,0.950122735,0.999729606,ABHD11-AS1
351.2124678,-0.018314842,0.042816497,-0.42775199,0.668831694,0.999729606,ABHD12
14.78055316,-0.0142121,0.140103061,-0.101440322,0.91920093,0.999729606,ABHD12B
506.7686337,-0.008769103,0.142342857,-0.061605502,0.950876995,0.999729606,ABHD13
99.0455853,0.025878668,0.062233432,0.415832243,0.677532763,0.999729606,ABHD14A
0.313463797,0.327868049,0.488829858,0.670720177,0.502398806,0.999729606,ABHD14A-ACY1
1106.056635,0.040996886,0.048769502,0.840625479,0.40055778,0.999729606,ABHD14B
606.6127737,0.068007443,0.047638865,1.427562191,0.153417913,0.999729606,ABHD15
1175.498655,-0.101158321,0.044323092,-2.282293887,0.022471995,0.999729606,ABHD16A
243.1287775,0.016352311,0.081030084,0.201805429,0.840068837,0.999729606,ABHD16B
5512.812503,-0.175831989,0.093188722,-1.886837648,0.059182166,0.999729606,ABHD2
932.5744834,-0.052863323,0.095119112,-0.555759213,0.578375471,0.999729606,ABHD3
830.2498051,-0.125527039,0.052171046,-2.40606714,0.016125301,0.999729606,ABHD4
1483.317298,-0.157243089,0.078932403,-1.992123431,0.046357517,0.999729606,ABHD5
133.9436581,0.026169742,0.052299344,0.500383755,0.61680489,0.999729606,ABHD6
307.4619133,0.031778514,0.059298279,0.535909549,0.592021065,0.999729606,ABHD8
2019.460162,-0.02234086,0.044116332,-0.506407921,0.612570315,0.999729606,ABI1
329.8773792,0.09652264,0.052373178,1.842978475,0.065332153,0.999729606,ABI2
1143.048735,-0.018532337,0.063368467,-0.292453615,0.76993982,0.999729606,ABI3
2.724799296,0.20891646,0.202376556,1.032315522,0.301924332,0.999729606,ABI3BP
566.9976088,0.006423867,0.07015148,0.091571371,0.927038598,0.999729606,ABL1
334.3144728,0.009443546,0.057118321,0.165333053,0.868681844,0.999729606,ABL2
2723.362535,0.039151028,0.076641004,0.510836579,0.609465493,0.999729606,ABLIM1
22.25895863,0.096801395,0.081009547,1.194938099,0.232111216,0.999729606,ABLIM2
115.5445514,-0.416141122,0.12490174,-3.331747991,0.000863024,0.601253668,ABLIM3
20.64438992,0.267271017,0.256915657,1.040306457,0.298197545,0.999729606,ABO
41.06006737,-0.070230602,0.253707762,-0.276816923,0.781920686,0.999729606,ABP1
3123.349142,-0.037694623,0.060951319,-0.618438187,0.536286532,0.999729606,ABR
1.665269266,0.050352869,0.2359329,0.213420293,0.830999154,0.999729606,ABRA
898.6117943,-0.005734643,0.049935701,-0.114840544,0.908571512,0.999729606,ABT1
13989.6389,-0.138275736,0.076552155,-1.80629448,0.070872354,0.999729606,ABTB1
129.6882391,-0.030586836,0.093065496,-0.328659251,0.742413257,0.999729606,ABTB2
2051.717421,0.046780151,0.051787038,0.90331775,0.366357279,0.999729606,ACAA1
612.6185177,0.012292829,0.051772337,0.237440105,0.81231538,0.999729606,ACAA2
250.7197709,0.059659673,0.061557639,0.969167658,0.332461545,0.999729606,ACACA
426.9528382,0.109397702,0.071366478,1.532900385,0.125300401,0.999729606,ACACB
583.4767651,0.041108484,0.038000798,1.081779491,0.279350522,0.999729606,ACAD10
22.37775657,0.116369966,0.097013915,1.199518299,0.230326474,0.999729606,ACAD11
398.2397435,-0.015295997,0.022299607,-0.685931207,0.49275649,0.999729606,ACAD8
421.7610691,0.004813471,0.04980131,0.096653505,0.923001565,0.999729606,ACAD9
0.043965835,-0.038511116,1.882556406,-0.020456819,0.983678958,0.999729606,ACADL
358.4845899,0.063850194,0.07535656,0.847307705,0.396823633,0.999729606,ACADM
319.7905642,-0.032152268,0.059827131,-0.537419518,0.590977865,0.999729606,ACADS
288.6061275,0.044699081,0.055569147,0.804386664,0.421173701,0.999729606,ACADSB
3085.142431,0.029907425,0.051556722,0.580087789,0.561855418,0.999729606,ACADVL
2.226722707,-0.559038023,0.300894272,-1.857921786,0.063180122,0.999729606,ACAN
6141.132897,-0.015724878,0.056699049,-0.277339368,0.781519533,0.999729606,ACAP1
3413.752946,-0.021934111,0.087707984,-0.25008112,0.802524616,0.999729606,ACAP2
1417.764029,0.012779369,0.059290206,0.215539286,0.829346886,0.999729606,ACAP3
227.5160302,0.080286732,0.073806191,1.087804856,0.276681265,0.999729606,ACAT1
188.3303194,0.13152007,0.05205073,2.526767085,0.011511782,0.991043476,ACAT2
544.8621807,0.002134808,0.039033669,0.054691461,0.956384272,0.999729606,ACBD3
395.679929,0.081500264,0.057998466,1.405214137,0.159957612,0.999729606,ACBD4
530.2476463,0.005555696,0.05074922,0.109473517,0.912826926,0.999729606,ACBD5
247.8087229,0.016205579,0.036295321,0.446492232,0.655241723,0.999729606,ACBD6
5.3880493,-0.124772801,0.161066781,-0.774665017,0.438537628,0.999729606,ACBD7
0.148462737,0.052867488,1.255535924,0.042107507,0.966412996,0.999729606,ACCN1
17.45989553,0.062848799,0.147441663,0.42626214,0.669916842,0.999729606,ACCN2
62.22864588,0.125672969,0.079862172,1.573623219,0.115574582,0.999729606,ACCN3
0.94874925,0.306486034,0.325483712,0.941632477,0.346380836,0.999729606,ACCN4
0.049099294,-0.280560917,2.488811787,-0.112728861,0.91024552,0.999729606,ACCN5
289.3662159,0.095698362,0.123453955,0.775174536,0.438236533,0.999729606,ACCS
0.823081268,-0.051899806,0.395874928,-0.131101524,0.895694996,0.999729606,ACCSL
486.6521258,-0.040851315,0.046285808,-0.882588357,0.377458722,0.999729606,ACD
80.77674047,0.059273356,0.106063504,0.558847799,0.576265597,0.999729606,ACE
0.345546574,0.138381972,0.456756931,0.302966333,0.761915519,0.999729606,ACE2
8.150331618,-0.109977455,0.115375151,-0.953216134,0.340480573,0.999729606,ACER1
17.76990826,0.001441027,0.106557108,0.013523523,0.989210119,0.999729606,ACER2
274.7764903,0.041376504,0.06388257,0.647696306,0.517181394,0.999729606,ACER3
7.855551326,-0.460881099,0.223422046,-2.062827315,0.039129038,0.999729606,ACHE
4145.177206,-0.004600025,0.050379021,-0.091308348,0.927247585,0.999729606,ACIN1
1817.360362,0.011250003,0.074511455,0.150983534,0.879988705,0.999729606,ACLY
0.686857585,0.149636915,0.332260211,0.450360621,0.652450435,0.999729606,ACMSD
135.3820017,-0.006759927,0.102219777,-0.066131304,0.947273289,0.999729606,ACN9
208.0415098,-0.043564371,0.076018642,-0.573074833,0.566594027,0.999729606,ACO1
833.0209096,-0.024908814,0.057226759,-0.435265144,0.663369982,0.999729606,ACO2
12.79723937,0.046018054,0.131431228,0.350130287,0.726240922,0.999729606,ACOT1
28.33449546,0.044700544,0.105105788,0.425290986,0.670624563,0.999729606,ACOT11
0.664066169,0.67604974,0.349212302,1.93592762,0.052876566,0.999729606,ACOT12
365.9420083,-0.023669591,0.04912648,-0.481809224,0.629941476,0.999729606,ACOT13
109.6213203,0.058709956,0.059741247,0.982737378,0.32573671,0.999729606,ACOT2
19.21056509,-0.106619478,0.102123949,-1.044020319,0.296475989,0.999729606,ACOT4
0.170139886,-0.404849705,0.609214408,-0.664543877,0.506342276,0.999729606,ACOT6
91.45240614,-0.118268763,0.064939744,-1.821207725,0.068575287,0.999729606,ACOT7
